Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
swim-hut,Swim hut,"<p>Swim hut<br>Size: ca 4 cm.</p>
<p>Lightweight and stylish earrings made from eco-friendly PLA plastic using 3D printing. The hooks are made of copper with silver or gold finish, and are nickel-free, lead-free, and hypoallergenic – perfect for sensitive ears.</p>",Cutie Poppers,Apparel & Accessories > Jewelry > Earrings,"","alla hjärtan, annorlunda örhängen, arcrylic, earrings, girl, girlie, girls, gulliga örhängen, heart, hjärtan, hoops, jewellery, kärlek, loop, loops, love, plastic, querky, sweet, söt, tinker, valentine",true,Color,black,product.metafields.shopify.color-pattern,Hook color,Gold,,,,,EARRING-SWIMHUT-BLACK-GOLD,5.0,,0,deny,manual,90.00,,true,true,,https://cdn.shopify.com/s/files/1/0915/5906/8023/files/IMG_9003.jpg?v=1751224547,1,"",false,,,universal; all-ages,black; gray; yellow; white; red; purple; pink; green; blue; orange-1,hoop,plastic; acrylic; metal,imitation-jewelry,female,,g,,70.00,active
swim-hut,,,,,,,,,black,,,Silver,,,,,EARRING-SWIMHUT-BLACK-SILVER,5.0,,0,deny,manual,90.00,,true,true,,https://cdn.shopify.com/s/files/1/0915/5906/8023/files/Skarmavbild2025-06-29kl.21.05.37.png?v=1751224551,2,"",,,,,,,,,,,g,,70.00,
swim-hut,,,,,,,,,gray,,,Gold,,,,,EARRING-SWIMHUT-GRAY-GOLD,5.0,,0,deny,manual,90.00,,true,true,,https://cdn.shopify.com/s/files/1/0915/5906/8023/files/IMG_8997_7015e97e-21ec-4115-b69d-02fbf18dcb7b.jpg?v=1751224597,3,"",,,,,,,,,,,g,,70.00,
swim-hut,,,,,,,,,gray,,,Silver,,,,,EARRING-SWIMHUT-GRAY-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
swim-hut,,,,,,,,,yellow,,,Gold,,,,,EARRING-SWIMHUT-YELLOW-GOLD,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
swim-hut,,,,,,,,,yellow,,,Silver,,,,,EARRING-SWIMHUT-YELLOW-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
swim-hut,,,,,,,,,white,,,Gold,,,,,EARRING-SWIMHUT-WHITE-GOLD,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
swim-hut,,,,,,,,,white,,,Silver,,,,,EARRING-SWIMHUT-WHITE-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
swim-hut,,,,,,,,,red,,,Gold,,,,,EARRING-SWIMHUT-RED-GOLD,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
swim-hut,,,,,,,,,red,,,Silver,,,,,EARRING-SWIMHUT-RED-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
swim-hut,,,,,,,,,purple,,,Gold,,,,,EARRING-SWIMHUT-PURPLE-GOLD,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
swim-hut,,,,,,,,,purple,,,Silver,,,,,EARRING-SWIMHUT-PURPLE-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
swim-hut,,,,,,,,,pink,,,Gold,,,,,EARRING-SWIMHUT-PINK-GOLD,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0915/5906/8023/files/IMG_9003.jpg?v=1751224547,g,,70.00,
swim-hut,,,,,,,,,pink,,,Silver,,,,,EARRING-SWIMHUT-PINK-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0915/5906/8023/files/IMG_8997_7015e97e-21ec-4115-b69d-02fbf18dcb7b.jpg?v=1751224597,g,,70.00,
swim-hut,,,,,,,,,green,,,Gold,,,,,EARRING-SWIMHUT-GREEN-GOLD,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
swim-hut,,,,,,,,,green,,,Silver,,,,,EARRING-SWIMHUT-GREEN-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
swim-hut,,,,,,,,,blue,,,Gold,,,,,EARRING-SWIMHUT-BLUE-GOLD,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
swim-hut,,,,,,,,,blue,,,Silver,,,,,EARRING-SWIMHUT-BLUE-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
swim-hut,,,,,,,,,orange-1,,,Gold,,,,,EARRING-SWIMHUT-ORANGE-GOLD,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
swim-hut,,,,,,,,,orange-1,,,Silver,,,,,EARRING-SWIMHUT-ORANGE-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,Football player,"<p>Football player<br>Size: ca 4 cm.</p>
<p>Lightweight and stylish earrings made from eco-friendly PLA plastic using 3D printing. The hooks are made of copper with silver or gold finish, and are nickel-free, lead-free, and hypoallergenic – perfect for sensitive ears.</p>",Cutie Poppers,Apparel & Accessories > Jewelry > Earrings,"","alla hjärtan, annorlunda örhängen, arcrylic, earrings, girl, girlie, girls, gulliga örhängen, heart, hjärtan, hoops, jewellery, kärlek, loop, loops, love, plastic, querky, sweet, söt, tinker, valentine",true,Color,black,product.metafields.shopify.color-pattern,Hook color,Gold,,,,,EARRING-FOOTBALL-PLAYER-BLACK-GOLD,5.0,,-1,deny,manual,90.00,,true,true,,https://cdn.shopify.com/s/files/1/0915/5906/8023/files/IMG_9002.jpg?v=1751224316,1,"",false,,,universal; all-ages,black; gray; yellow; white; red; purple; pink; green; blue; orange-1,hoop,plastic; acrylic; metal,imitation-jewelry,female,,g,,70.00,active
football-player,,,,,,,,,black,,,Silver,,,,,EARRING-FOOTBALL-PLAYER-BLACK-SILVER,5.0,,0,deny,manual,90.00,,true,true,,https://cdn.shopify.com/s/files/1/0915/5906/8023/files/Skarmavbild2025-06-29kl.21.06.20.png?v=1751224316,2,"",,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,gray,,,Gold,,,,,EARRING-FOOTBALL-PLAYER-GRAY-GOLD,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,gray,,,Silver,,,,,EARRING-FOOTBALL-PLAYER-GRAY-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,yellow,,,Gold,,,,,EARRING-FOOTBALL-PLAYER-YELLOW-GOLD,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,yellow,,,Silver,,,,,EARRING-FOOTBALL-PLAYER-YELLOW-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,white,,,Gold,,,,,EARRING-FOOTBALL-PLAYER-WHITE-GOLD,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,white,,,Silver,,,,,EARRING-FOOTBALL-PLAYER-WHITE-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,red,,,Gold,,,,,EARRING-FOOTBALL-PLAYER-RED-GOLD,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,red,,,Silver,,,,,EARRING-FOOTBALL-PLAYER-RED-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,purple,,,Gold,,,,,EARRING-FOOTBALL-PLAYER-PURPLE-GOLD,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,purple,,,Silver,,,,,EARRING-FOOTBALL--PLAYERPURPLE-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,pink,,,Gold,,,,,EARRING-FOOTBALL-PLAYER-PINK-GOLD,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,pink,,,Silver,,,,,EARRING-FOOTBALL-PLAYER-PINK-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,green,,,Gold,,,,,EARRING-FOOTBALL-PLAYER-GREEN-GOLD,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,green,,,Silver,,,,,EARRING-FOOTBALL-PLAYER-GREEN-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,blue,,,Gold,,,,,EARRING-FOOTBALL-PLAYER-BLUE-GOLD,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,blue,,,Silver,,,,,EARRING-FOOTBALL-PLAYER-BLUE-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,orange-1,,,Gold,,,,,EARRING-FOOTBALL-PLAYER-ORANGE-GOLD,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
football-player,,,,,,,,,orange-1,,,Silver,,,,,EARRING-FOOTBALL-PLAYER-ORANGE-SILVER,5.0,,0,deny,manual,90.00,,true,true,,,,,,,,,,,,,,,g,,70.00,
